  Time                  I(Rs)                 V(R40:2)              V(C2:+)              
  2.638340377469e-003  1.088577787623e+000  -4.354311150492e+000  -3.819122977963e-001  
  2.639340400357e-003  1.094125084348e+000  -4.376500337391e+000  -3.839324508219e-001  
  2.640340423246e-003  1.099646030954e+000  -4.398584123814e+000  -3.859374461580e-001  
  2.641340446134e-003  1.105132661595e+000  -4.420530646380e+000  -3.879272046470e-001  
  2.642340469022e-003  1.110591156552e+000  -4.442364626210e+000  -3.899016477332e-001  
  2.643340491910e-003  1.115967052716e+000  -4.463868210864e+000  -3.918606974653e-001  
  2.644340514798e-003  1.121302674991e+000  -4.485210699964e+000  -3.938042764999e-001  
  2.645340537686e-003  1.126615369495e+000  -4.506461477979e+000  -3.957323081043e-001  
  2.646340560575e-003  1.131895539400e+000  -4.527582157599e+000  -3.976447161595e-001  
  2.647340583463e-003  1.137149079116e+000  -4.548596316463e+000  -3.995414251637e-001  
  2.648340606351e-003  1.142291650876e+000  -4.569166603503e+000  -4.014223602345e-001  
  2.649340629239e-003  1.147407380497e+000  -4.589629521987e+000  -4.032874471124e-001  
  2.650340652127e-003  1.152499655914e+000  -4.609998623655e+000  -4.051366121636e-001  
  2.651340675016e-003  1.157540948288e+000  -4.630163793154e+000  -4.069697823828e-001  
  2.652340697904e-003  1.162551672459e+000  -4.650206689837e+000  -4.087868853965e-001  
  2.653340720792e-003  1.167525625406e+000  -4.670102501622e+000  -4.105878494651e-001  
  2.654340743680e-003  1.172425355225e+000  -4.689701420901e+000  -4.123726034865e-001  
  2.655340766568e-003  1.177276817195e+000  -4.709107268780e+000  -4.141410769983e-001  
  2.656340789456e-003  1.182104048100e+000  -4.728416192398e+000  -4.158932001811e-001  
  2.657340812345e-003  1.186895062720e+000  -4.747580250879e+000  -4.176289038609e-001  
  2.658340835233e-003  1.191616366990e+000  -4.766465467960e+000  -4.193481195119e-001  
  2.659340858121e-003  1.196287630517e+000  -4.785150522070e+000  -4.210507792594e-001  
  2.660340881009e-003  1.200932579930e+000  -4.803730319718e+000  -4.227368158821e-001  
  2.661340903897e-003  1.205538633258e+000  -4.822154533032e+000  -4.244061628153e-001  
  2.662340926786e-003  1.210079912375e+000  -4.840319649499e+000  -4.260587541528e-001  
  2.663340949674e-003  1.214576464225e+000  -4.858305856900e+000  -4.276945246503e-001  
  2.664340972562e-003  1.219042881690e+000  -4.876171526758e+000  -4.293134097273e-001  
  2.665340995450e-003  1.223470199129e+000  -4.893880796518e+000  -4.309153454702e-001  
